Worker_ID,Date,Run_Off_D1,Open_Seam_D2,SPI_Errors_D3,High_Low_D4,Defect_Count,Production_Volume,Count ,Shift
W_00001,1/1/24,0,0,3,5,8,600,592,Morning
W_00001,1/2/24,1,2,0,3,6,600,594,Morning
W_00001,1/3/24,3,4,5,3,15,600,585,Morning
W_00001,1/4/24,2,0,0,5,7,600,593,Morning
W_00001,1/5/24,5,2,2,4,13,600,587,Morning
W_00001,1/8/24,0,4,4,0,8,600,592,Morning
W_00001,1/9/24,0,2,7,4,13,600,587,Morning
W_00001,1/10/24,5,5,1,0,11,600,589,Morning
W_00001,1/11/24,3,1,3,1,8,600,592,Morning
W_00001,1/12/24,0,1,3,1,5,600,595,Morning
W_00001,1/15/24,0,4,3,1,8,600,592,Morning
W_00001,1/16/24,5,5,6,6,22,600,578,Morning
W_00001,1/17/24,0,5,2,6,13,600,587,Morning
W_00001,1/18/24,0,5,3,1,9,600,591,Morning
W_00001,1/19/24,3,4,0,4,11,600,589,Morning
W_00001,1/22/24,5,4,7,4,20,600,580,Morning
W_00001,1/23/24,0,3,3,1,7,600,593,Morning
W_00001,1/24/24,1,0,0,0,1,600,599,Morning
W_00001,1/25/24,6,5,4,1,16,600,584,Morning
W_00001,1/26/24,2,2,4,0,8,600,592,Morning
W_00001,1/29/24,0,6,5,2,13,600,587,Morning
W_00001,1/30/24,4,4,0,1,9,600,591,Morning
W_00001,1/31/24,6,2,0,3,11,600,589,Morning
W_00002,2/1/24,0,0,5,8,,600,,Morning
W_00001,2/2/24,2,0,3,6,,600,,Morning
W_00001,2/5/24,4,5,3,4,,600,,Morning
W_00001,2/6/24,0,0,5,2,,600,,Morning
W_00001,2/7/24,2,0,4,0,,600,,Morning
W_00001,2/8/24,4,3,0,0,,600,,Morning
W_00001,2/9/24,2,5,4,5,,600,,Morning
W_00001,2/12/24,5,0,0,0,,600,,Morning
W_00001,2/13/24,1,1,1,0,,600,,Morning
W_00001,2/14/24,1,6,1,3,,600,,Morning
W_00001,2/15/24,4,2,1,5,,600,,Morning
W_00001,2/16/24,5,0,6,0,,600,,Morning
W_00001,2/19/24,5,4,6,1,,600,,Morning
W_00001,2/20/24,5,6,1,6,,600,,Morning
W_00001,2/21/24,4,0,4,2,,600,,Morning
W_00001,2/22/24,4,2,4,0,,600,,Morning
W_00001,2/23/24,3,4,1,4,,600,,Morning
W_00001,2/26/24,0,0,0,6,,600,,Morning
W_00001,2/27/24,5,2,1,0,,600,,Morning
W_00001,2/28/24,2,4,0,2,,600,,Morning
W_00001,2/29/24,6,2,2,1,,600,,Morning
W_00001,3/1/24,4,5,1,0,,600,,Morning
W_00001,3/4/24,2,0,0,1,,600,,Morning
